	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MZF1	MZF1	MZF1	36/388	434/12383	9.27370613747674e-08	4.07012658255923e-07	5.06167196587424e-08	SIX5/MRPS18B/TFDP2/FOXP1/CACNA1D/GPC6/MGLL/IGF2BP1/SSBP3/OTX2/CHD2/SCN3B/EFNA1/WT1-AS/MAP3K5/STC2/PRELP/PCF11/ROR1/ADD3/HOXA10/LHX9/C11orf92/ARHGAP44/KCNIP2/ATP1A2/RAB30/PHF15/MTA2/ARID1A/TSSK3/GABRA3/CACNA2D3/HOXB8/APOBR/GGNBP2	36
COMP1	COMP1	COMP1	17/388	115/12383	1.00274142244583e-07	4.3209039476302e-07	5.37354255090586e-08	HOXA2/FOXP2/SALL3/DLG2/MBNL1/GRHL3/NAV3/SRSF8/ERBB4/HOXA10/HSD3B7/IGF1/FGF10/ZIC1/ZIC4/PHF6/NDST4	17
BRN2	BRN2	BRN2	25/388	237/12383	1.07267865798977e-07	4.52646933976013e-07	5.62918683159155e-08	FGFR2/NEUROG1/FOXP2/SALL3/MGLL/MBNL1/PLEC/COL12A1/PHOX2B/PCF11/DMD/HOXA10/ESRRG/PCDH18/FOXG1/KCNQ1DN/BCL9/CSRNP3/PDZRN4/BAMBI/FGF10/GDNF/SIPA1/TEF/IP6K2	25
HLF	HLF	HLF	26/388	254/12383	1.08864452475244e-07	4.52646933976013e-07	5.62918683159155e-08	LOX/DDIT3/FBXW7/FOXP1/HOXB6/POU4F1/OTX2/S100PBP/CHD2/ZNF238/DENND4A/PFN2/DMD/BAI3/SEMA6D/ARHGAP44/GPR85/ZNF654/ZNF687/BAMBI/DNAJA2/FOXA1/CACNA2D3/TRIM8/TSC22D3/IP6K2	26
HNF3B	HNF3B	HNF3B	24/388	221/12383	1.11948178499947e-07	4.57443419042886e-07	5.68883665698459e-08	MRPS18B/DRD3/TFAP4/TFDP2/GPRIN3/FOXP2/OTX2/DCHS2/ZNF827/CITED2/CNTLN/ABT1/DAAM1/HESX1/DMD/BAI3/ZNF521/FOXG1/ANKRD28/PDZRN4/BAMBI/ITGA8/PHEX/UBXN10	24
CEBPDELTA	CEBPDELTA	CEBPDELTA	25/388	240/12383	1.37062485249812e-07	5.50573033969584e-07	6.84701085993708e-08	MRPS18B/FBXW7/HOXA3/NEUROG1/FOXP1/FOXP2/TRPM3/HEPACAM/MBNL1/CHD2/LIPG/CITED2/STC2/ZNF238/SRSF8/DMD/SEMA6D/GPR85/WBP1/CER1/ZNF687/MID1/GABRA3/CACNA2D3/HOXB8	25
IRF1	IRF1	IRF1	37/388	461/12383	1.41172522774346e-07	5.57631464958667e-07	6.93479059242402e-08	GATA3/LOX/DDIT3/HOXB6/DTX3L/PAX6/DLG2/TRPM3/ESR1/MBNL1/PRDM16/EBF1/FAM49A/STAG1/PHOX2B/EMX2/ZNF238/CACNB2/DMD/HOXA10/ESRRG/HGF/FOXG1/PAPD5/SLC26A6/ZNF296/DGKB/RUFY3/PDZRN4/TTC17/LRP5/FGF12/NAPB/CSTF3/FOXA1/DYRK1A/TRIM8	37
LBP1	LBP1	LBP1	24/388	224/12383	1.44501416327436e-07	5.58969086687003e-07	6.95142546179706e-08	GATA3/SOX5/FLJ45983/LOXL4/DLG2/C11orf87/SCN3B/EFNA1/ZNF503/PCF11/ZNF238/CACNB2/DAAM1/KCNQ1DN/RAB5B/KCNIP2/VWA5A/HPSE2/OR2L13/MLL/ARID1A/BRSK2/NXPH4/TRIM8	24
NKX62	NKX62	NKX62	25/388	241/12383	1.48586719245912e-07	5.58969086687003e-07	6.95142546179706e-08	PRIMA1/DLG2/OTX2/CHD2/PIK3R3/RPLP0/BTBD3/ZNF238/PDGFRA/FIZ1/HESX1/DMD/HOXA10/ZNF524/PART1/PDZRN4/BAMBI/LRP5/ZIC1/SMARCA2/BMX/CACNA2D3/ZIC4/PTH1R/TSC22D3	25
SMAD4	SMAD4	SMAD4	25/388	241/12383	1.48586719245912e-07	5.58969086687003e-07	6.95142546179706e-08	HHEX/HOXA3/MYLK/PAX1/SSBP3/OTX2/HEPACAM/C11orf87/PLEC/EPC1/PDGFRA/PFN2/HOXA10/TRPS1/ZNF710/FAM83F/NR2F1/ZNF296/PPP3CA/POU2AF1/ARID1A/COL1A2/SIPA1/VDR/TRIM8	25
GATA3	GATA3	GATA3	25/388	242/12383	1.61002886948778e-07	5.96213815732194e-07	7.41460663579899e-08	SATB2/DRD3/SOX5/HOXA2/RBMX/HOXB6/TRPM3/ESR1/LEAP2/MBNL1/ZFPM1/POU2F1/C14orf1/AQP2/PHOX2B/MYO18A/BCL2L1/DMD/HOXA10/KLF5/GPR85/IGF1/CAPN1/SLC4A1/FOXA1	25
IRF	IRF	IRF	31/388	353/12383	2.16246591472728e-07	7.88468341215948e-07	9.80551345949214e-08	SATB2/MRPS18B/SOX5/CNTFR/MEIS1/TFDP2/ATXN7L1/HOXB6/DTX3L/TRPM3/ESR1/ZFPM1/PRDM16/PIK3R3/CITED2/STAG2/ZNF503/NAV3/BCL2L1/IL1RAPL1/C11orf92/MGAT4A/HGF/SEMA6D/HIP1R/ZNF296/ADAM12/HPSE2/PHF15/MLL/NRG1	31
GR	GR	GR	34/388	414/12383	2.72119690468998e-07	9.77157070320494e-07	1.21520754914385e-07	GATA3/LOX/HOXA2/FBXW7/SKIL/DSTN/DLG2/ESR1/MBNL1/DCHS2/EFNA1/WT1-AS/PXN/BAI3/KLF5/PCDH18/EPHA7/PMCHL1/ZNF654/JPH1/NR2F1/CER1/MID1/OR2L13/RAB30/FGF12/GDNF/TSSK3/TEF/FGD4/DNAJA2/NDST4/TSC22D3/IP6K2	34
FOXD3	FOXD3	FOXD3	22/388	199/12383	2.79483615124688e-07	9.81532597084967e-07	1.2206490214692e-07	HHEX/DRD3/HOXA3/PRIMA1/NTN1/OTX2/FST/CITED2/FAM49A/STAG2/HESX1/DMD/HOXA10/BAI3/LHX9/PCDH17/NR2F1/ANKRD28/BAMBI/FGFR1OP2/PCYT1B/ARID4A	22
HNF1	HNF1	HNF1	38/388	494/12383	2.81621167096109e-07	9.81532597084967e-07	1.2206490214692e-07	SATB2/NFE2L2/HOXA3/FOXP2/SALL3/LEAP2/MBNL1/POU2F1/ZNF827/FST/CITED2/FAM49A/BTBD3/STAG2/PHOX2B/CNTLN/EMX2/TMEM27/PCF11/PDGFRA/ADD3/DAAM1/HEXIM2/HESX1/DMD/HOXA10/C11orf92/FOXG1/TRPS1/NR2F1/BUB3/BCL9/PDZRN4/MLL/ASB4/HOXB8/UBXN10/PTH1R	38
TCF11	TCF11	TCF11	25/388	253/12383	3.77585814901692e-07	1.29304853484303e-06	1.60805502889651e-07	SATB2/SPARCL1/HOXA3/TFDP2/FOXP2/DLG2/CHD2/POU2F1/EBF1/STAG2/CNTLN/DMD/NUP54/MAP2/ZNF710/NR2F1/C15orf26/FGF10/MLL/SMARCA2/PCYT1B/ZIC4/NDST4/UBXN10/NRG1	25
LMO2COM	LMO2COM	LMO2COM	38/388	500/12383	3.81913069362921e-07	1.29304853484303e-06	1.60805502889651e-07	SOX5/FOXP2/DLG2/TRPM3/OTX2/MBNL1/ZFPM1/PLEC/AQP2/CITED2/GRIN2B/COL12A1/LRRC4/PHOX2B/MYO18A/PPP2R3A/HOXA10/ZNF521/ZNF710/KCNIP2/KIAA0182/ADAM12/FOXO4/HPSE2/GJB4/CAPN1/BAMBI/PDGFB/FGF12/SLC4A1/S1PR2/VDR/B4GALT6/C17orf28/FOXA1/CACNA2D3/MYH10/TRIM8	38
WHN	WHN	WHN	25/388	254/12383	4.06922208179685e-07	1.3583177935012e-06	1.68922488199128e-07	TFAP4/HOXA3/FOXP2/POU4F1/MBNL1/EBF1/GRIN2B/STAG2/STC2/ZNF238/SIRPA/FIZ1/PFN2/ESRRG/ZNF524/FOXO4/ZBTB11/PPP3CA/PHF15/SNX9/FOXA1/HOXB8/DNAJB4/NRG1/TSC22D3	25
MMEF2	MMEF2	MMEF2	26/388	272/12383	4.21016073059863e-07	1.38584457382205e-06	1.72345760901698e-07	SOX5/TFDP2/ATXN7L1/FLJ45983/FOXP2/SALL3/HOXB6/DNAJB5/DLG2/ESR1/POU2F1/STAG2/ADD3/DMD/HOXA10/BAI3/LHX9/TM2D3/RTN1/NR2F1/CAPN1/MANF/ASPH/DNAJA2/CACNA2D3/HOXB8	26
SMAD	SMAD	SMAD	25/388	255/12383	4.38350186700608e-07	1.42313690750745e-06	1.76983492827931e-07	MRPS18B/FBXW7/OTX2/MBNL1/ZNF827/GRHL3/LTBP1/ZFP91/CACNB2/DYNC1I1/IL1RAPL1/RAB5C/KIAA0182/SGCD/PDGFB/GDNF/FGFR1OP2/ARID1A/SIPA1/WT1/TSSK3/NXPH4/SOX21/UBXN10/NDUFS4	25
CHOP	CHOP	CHOP	24/388	238/12383	4.4724631478217e-07	1.43239698112668e-06	1.78135089813667e-07	HHEX/NFE2L2/TFAP4/SOX4/CNTFR/SESN2/MEIS1/DSEL/MBNL1/PPP2R2A/FST/PHOX2B/CACNB2/PCDH17/PCDH18/NTRK2/ANKRD28/ZBTB11/PDZRN4/SESN3/VDR/HOXA5/PHF6/GGNBP2	24
DECAMER	DECAMER	DECAMER	25/388	256/12383	4.72005015946641e-07	1.49153585039139e-06	1.85489690477276e-07	HOXA2/DNAJB5/DLG2/S100PBP/LTBP1/MYH1/STRN3/ADD3/CACNB2/PXN/DMD/NUP54/SEMA6D/HIP1R/ZMAT3/ZNF654/GNAQ/GJB4/AP4S1/MTA2/SMARCA2/FGD4/NXPH4/PTH1R/NRG1	25
CEBPGAMMA	CEBPGAMMA	CEBPGAMMA	25/388	257/12383	5.08029768806495e-07	1.58425072640973e-06	1.97019854938807e-07	LSAMP/HOXA3/FOXP2/SALL3/HOXB2/MGLL/DLG2/LEAP2/GRIN2B/RPLP0/DDAH2/CNTLN/ZNF503/NAV3/PDGFRA/DAAM1/HESX1/PCDH18/NTRK2/NR2F1/GNAQ/PDZRN4/MID1/EIF5/TRIM8	25
DR4	DR4	DR4	27/388	294/12383	5.59107121801625e-07	1.72088815411669e-06	2.14012295426459e-07	LRRC3B/SOX5/HOXA3/NEUROG1/FOXP1/FOXP2/DLG2/HEPACAM/LIPG/STAG2/ADD3/DMD/KCNQ1DN/LENG9/ATP1A2/PHF15/TP53INP2/PDGFB/GDNF/POU2AF1/PODXL2/COL1A2/C12orf65/NXPH4/NDUFS4/NRG1/IP6K2	27
VDR	VDR	VDR	36/388	468/12383	5.90116590248053e-07	1.79304656267678e-06	2.22986026004662e-07	DDIT3/HHEX/FGFR2/SOX5/HOXA2/HOXA3/PRIMA1/HOXB2/HOXB6/PAX6/DLG2/SSBP3/CHD2/POU2F1/EBF1/RAPGEF4/STAG2/ZNF503/PCF11/ZNF238/ESRRG/TRPS1/NTRK2/ZNF710/KCNIP2/NR2F1/DHH/ATP1A2/FGF10/ARID1A/SIPA1/HOXA5/TSSK3/FOXA1/HOXB8/TSC22D3	36
CDPCR1	CDPCR1	CDPCR1	17/388	130/12383	6.09438687711339e-07	1.82831606313402e-06	2.27372195282045e-07	MEIS1/ATXN7L1/HOXB2/MBNL1/ZNF827/BTBD3/STAG2/ZNF503/HEXIM2/PFN2/HOXA10/IL1RAPL1/FOXG1/DGKB/DUSP4/FGF12/MLL	17
CMYB	CMYB	CMYB	24/388	249/12383	1.01805789200663e-06	3.01599650506964e-06	3.75073960212969e-07	HOXA2/GPR21/MGLL/HEPACAM/PIK3R3/FST/C14orf1/CITED2/EPC1/STAG2/PHOX2B/ADD3/ERBB4/IL1RAPL1/KLF5/PDZRN4/PHF15/PPP2R4/PDGFB/MANF/FGF12/CRAT/HOXB8/ZIC4	24
HEN1	HEN1	HEN1	26/388	286/12383	1.10417172740396e-06	3.23072468388566e-06	4.01777886514762e-07	SIX5/TFAP4/FOXP1/MGLL/LOXL4/ZFP91/MGAT1/ZNF238/CACNB2/DAAM1/PLAGL2/ESRRG/KCNQ1DN/MAP2/HSD3B7/IGF1/LRP5/PDGFB/MLL/BRSK2/FOXA1/HOXB8/NDST4/CLDN5/GGNBP2/NRG1	26
HNF4ALPHA	HNF4ALPHA	HNF4ALPHA	25/388	271/12383	1.36360727412829e-06	3.94115760937079e-06	4.90128416888217e-07	HHEX/CNTFR/HOXA2/HOXB6/PAX6/LEAP2/CITED2/BTBD3/RAPGEF4/STAG2/PDGFRA/GPR85/KCNIP2/NR2F1/SLC26A6/INHBC/MYF6/PHF15/PDGFB/FGF10/GDNF/RBMS3/TEF/DNAJA2/PTH1R	25
ZIC3	ZIC3	ZIC3	24/388	255/12383	1.55968471718388e-06	4.4535575659347e-06	5.53851262918817e-07	CNTFR/NTN1/FOXP1/PAX6/POU2F1/SCN3B/ZFP91/DCAKD/STAG2/ZNF503/BCL2L1/HEXIM2/HOXA10/ESRRG/ZNF521/GPR85/FGF10/SIPA1/GABRA3/NMT1/HOXB8/PHF6/CLTC/NRG1	24
HIF1	HIF1	HIF1	28/388	332/12383	1.90165548921152e-06	5.36538513027536e-06	6.67247540074218e-07	DSCAM/HOXA2/PRIMA1/MYLK/MGLL/IGF2BP1/ZNF827/LTBP1/CITED2/BTBD3/NAV2/ARX/IL1RAPL1/DDX4/JPH1/PROK2/FOXO4/PHF15/SLC6A1/PDGFB/FGF10/BRSK2/DSCAML1/ARPC2/TSSK3/TEF/NXPH4/UBXN10	28
PAX	PAX	PAX	24/388	259/12383	2.0559066375367e-06	5.69669405393279e-06	7.08449626960329e-07	GATA3/HHEX/SKIL/HOXB2/DLG2/TRPM3/MBNL1/CHD2/EBF1/WT1-AS/EMX2/PCDH17/GPR85/KCNIP2/WBP1/LENG9/DHH/MYF6/FGF10/S1PR2/HOXA5/FOXA1/CACNA2D3/NRG1	24
IR1	IR1	IR1	15/388	112/12383	2.06715480438068e-06	5.69669405393279e-06	7.08449626960329e-07	MRPS18B/SOX5/GPRIN3/SSBP3/LTBP1/CITED2/DDAH2/PHOX2B/DMD/RAB5C/KCNIP2/EIF5/GDNF/FOXA1/R3HDM1	15
MSX1	MSX1	MSX1	19/388	174/12383	2.20428330954041e-06	6.00477177426526e-06	7.46762645700321e-07	DRD3/SOX4/SKIL/FOXP1/FOXP2/DLG2/POU2F1/GRIN2B/PHOX2B/ARX/IL1RAPL1/FOXG1/EPHA7/NR2F1/HSD3B7/ZIC1/MLL/ZIC4/DNAJB4	19
E2A	E2A	E2A	23/388	243/12383	2.34387124041617e-06	6.31247140884809e-06	7.85028645115464e-07	ATOH7/DSCAM/SKIL/DNAJB5/LOXL4/POU4F1/C11orf87/CITED2/FAM49A/RAPGEF4/DMD/KCNIP2/KIAA0182/HN1/IGF1/MID1/PPP2R4/APBB2/PDGFB/VDR/CRAT/NDST4/GGNBP2	23
S8	S8	S8	23/388	245/12383	2.6962188267067e-06	7.12162276752846e-06	8.85655951546955e-07	DSCAM/SOX5/MEIS1/ATXN7L1/FOXP1/SALL3/HOXB6/OTX2/MBNL1/PIK3R3/FST/BTBD3/LRRC4/PHOX2B/CNTLN/HESX1/DMD/CCNJ/KIAA0182/HPSE2/PDZRN4/PTH1R/PHC2	23
LHX3	LHX3	LHX3	26/388	300/12383	2.70441370918802e-06	7.12162276752846e-06	8.85655951546955e-07	HOXA2/TFDP2/ATXN7L1/SALL3/SSBP3/OTX2/MBNL1/PIK3R3/COL12A1/LRRC4/PHOX2B/COLEC10/ZNF238/ADD3/HESX1/DMD/ARHGAP44/KIAA0182/PROK2/PART1/MYF6/PDZRN4/MID1/ITGA8/NDST4/PTH1R	26
FOXM1	FOXM1	FOXM1	23/388	246/12383	2.8899544446185e-06	7.52658465246796e-06	9.36017633884534e-07	ATOH7/DDIT3/LSAMP/SOX5/HOXA3/NEUROG1/FOXP2/SALL3/HOXB6/PAX6/DCHS2/EBF1/EFNA1/DMD/C11orf92/PCDH17/FOXG1/NR2F1/LENG9/RUFY3/LRP5/CRYGS/IP6K2	23
GATA6	GATA6	GATA6	24/388	265/12383	3.07514718195317e-06	7.92184654481414e-06	9.85173010236714e-07	LSAMP/SOX5/SKIL/FOXP1/HOXB6/OTX2/FST/KCNK5/CNTLN/PDGFRA/CACNB2/PLAGL2/ESRRB/ESRRG/TRPS1/NR2F1/HPSE2/MID1/C15orf26/FSIP2/POU2AF1/FOXA1/CACNA2D3/PHC2	24
FREAC7	FREAC7	FREAC7	20/388	195/12383	3.17392434696978e-06	8.08838785195526e-06	1.00588434312568e-06	MGLL/DLG2/SSBP3/POU2F1/FST/PLEC/PMCH/ZNF238/HESX1/HOXA10/BAI3/SEMA6D/RAB5B/BUB3/MID1/BAMBI/CACNA2D3/NDST4/TRIM8/NRG1	20
STAT4	STAT4	STAT4	24/388	266/12383	3.28422903310901e-06	8.28044979624293e-06	1.02976946166912e-06	HHEX/TFAP4/FN1/POU4F1/MBNL1/GRHL3/PDLIM2/C14orf1/CITED2/GRIN2B/PHOX2B/FOXG1/ANKRD28/DHH/IGF1/PHF15/FGF10/FGF12/FSIP2/S1PR2/SDCBP/ARPC2/ITGA8/NRG1	24
EFC	EFC	EFC	24/388	268/12383	3.74184899236987e-06	9.33492853885957e-06	1.16090605857459e-06	HOXA3/HOXB6/CACNA1D/PAX6/DPYSL5/CITED2/BTBD3/STRN4/OMA1/NEK2/BCL2L1/DMD/HOXA10/PCDH17/KCNQ1DN/ZNF710/PDZRN4/PHF15/MTA2/ARID1A/PCYT1B/FKRP/CACNA2D3/NDUFS4	24
CDPCR3HD	CDPCR3HD	CDPCR3HD	22/388	236/12383	4.99132091521351e-06	1.23223235094333e-05	1.53242308800415e-06	SOX5/MEIS1/HOXA2/FBXW7/ATXN7L1/HOXB2/DLG2/ZNF827/BTBD3/STAG2/PHOX2B/ZNF503/HEXIM2/PFN2/DMD/HOXA10/IL1RAPL1/PHF15/MLL/TSSK3/NXPH4/NRG1	22
CP2	CP2	CP2	34/388	474/12383	5.78511687087151e-06	1.41347700865624e-05	1.75782172961913e-06	GATA3/DSCAM/FOXP2/HOXB6/PAX6/GPC3/GRHL3/LTBP1/VKORC1L1/PLEC/EPC1/DDAH2/STAG2/PRELP/ARX/IL1RAPL1/KCNQ1DN/ZNF710/RTN1/NR2F1/ICAM4/GNAQ/DHH/HSD3B7/HPSE2/RAB30/USP1/COL1A2/SMARCA2/FGD4/FOXA1/NDUFS4/TRIM8/TSC22D3	34
HFH8	HFH8	HFH8	20/388	203/12383	5.87391956355232e-06	1.42052952710398e-05	1.76659234994055e-06	TFAP4/PRIMA1/FOXP2/MGLL/OTX2/POU2F1/PMCH/EMX2/ZNF238/HESX1/DMD/HOXA10/BAI3/ESRRG/NR2F1/ANKRD28/BUB3/BAMBI/ATOH8/IP6K2	20
ETS1	ETS1	ETS1	23/388	259/12383	6.86618806886842e-06	1.62728657232181e-05	2.02371858871911e-06	FOXP1/CACNA1D/PAX6/SHC3/PDLIM2/OMA1/EGFLAM/HOXA10/DYNC1I1/KCNQ1DN/ZMAT3/ZNF296/DHH/FOXO4/HSD3B7/ZNF687/PDGFB/MLL/POU2AF1/MYH10/GGNBP2/NRG1/TSC22D3	23
ZID	ZID	ZID	23/388	259/12383	6.86618806886842e-06	1.62728657232181e-05	2.02371858871911e-06	AFF4/HOXA3/SKIL/FOXP1/DNAJB5/PAX6/MBNL1/CHD2/LTBP1/CNTLN/PRELP/PCF11/DMD/ESRRG/ARHGAP44/ZNF654/ADAM12/ZIC1/FGFR1/SESN3/HOXB8/ZIC4/TSC22D3	23
IK1	IK1	IK1	24/388	278/12383	7.03111969944587e-06	1.64987660274126e-05	2.05181189770176e-06	MRPS18B/ATXN7L1/FOXP1/SHC3/LTBP1/CITED2/GRIN2B/COL12A1/PPP2R5E/BAI3/IL1RAPL1/PCDH17/ZNF710/SLC26A6/SGCD/FOXO4/ZNF687/ARID1A/NAPB/ARPC2/TEF/C17orf28/ZIC4/R3HDM1	24
TTF1	TTF1	TTF1	23/388	262/12383	8.30679324914191e-06	1.93010784318297e-05	2.40031177477785e-06	FOXP2/HOXB6/TRPM3/ESR1/PIK3R3/STC2/STRN3/ROR1/HEXIM2/ARX/HESX1/HOXA10/KLF5/C11orf92/ZNF521/PCDH17/WBP1/ZNF654/AP4S1/ZIC1/C12orf65/CACNA2D3/ZIC4	23
SP3	SP3	SP3	22/388	245/12383	9.12125415515826e-06	2.09877401434224e-05	2.61006761721442e-06	HHEX/CNTFR/FOXP1/HOXB6/DNAJB5/OTX2/FTHL17/CHD2/PLEKHM1/GRIN2B/STAG2/EMX2/PPP2R5E/PLAGL2/MAML1/KCNIP2/HSD3B7/C15orf26/PHF15/HOXB8/PHF6/GGNBP2	22
CIZ	CIZ	CIZ	22/388	246/12383	9.73325680530058e-06	2.21805948351561e-05	2.75841285980178e-06	MRPS18B/HOXA2/ATXN7L1/FOXP2/MYLK/PAX1/MBNL1/CHD2/PHOX2B/CNTLN/ZNF238/ARX/C11orf92/ZNF654/HPSE2/BCL9/PDGFB/ZIC1/SMARCA2/TMSB4XP1/ZIC4/PHF6	22
AP3	AP3	AP3	22/388	247/12383	1.03822018185939e-05	2.34341126762549e-05	2.91430226486847e-06	FN1/FOXP2/HOXB6/MYLK/OTX2/MBNL1/CHD2/WT1-AS/KCNK5/RAPGEF4/PHOX2B/ZNF238/ERBB4/DMD/BAI3/IL1RAPL1/TRPS1/NTRK2/TRIML1/WBP1/LRRN4CL/TRIM8	22
SPZ1	SPZ1	SPZ1	21/388	231/12383	1.20722941883564e-05	2.69918275720799e-05	3.35674515664329e-06	GATA3/MRPS18B/CNTFR/FLJ45983/HOXB6/MYLK/IGF2BP1/DLG2/POU2F1/EBF1/FST/ZFP91/STAG2/PCF11/HOXA10/FOXO4/HSD3B7/C13orf30/RBMS3/HOXB8/HDAC8	21
DR3	DR3	DR3	16/388	145/12383	1.22394945556894e-05	2.71099085018542e-05	3.37142988253128e-06	TFAP4/HOXB6/PAX6/GPC3/SSBP3/CHD2/POU2F1/DCHS2/COL12A1/DDAH2/DMD/BCL9/PDGFB/ARID4A/TRIM8/TSC22D3	16
HSF2	HSF2	HSF2	22/388	250/12383	1.25708263977793e-05	2.75859801506824e-05	3.43063488438422e-06	CACNA1D/DNAJB5/SHC3/SSBP3/OTX2/PLEC/STAG2/DMD/IL1RAPL1/MAP2/FNDC9/NR2F1/BCL9/CSRNP3/MID1/RAB30/PDGFB/EIF5/TSSK3/HOXB8/ITGA8/TRIM8	22
CRX	CRX	CRX	23/388	269/12383	1.27922316432214e-05	2.78143018297566e-05	3.45902931926797e-06	SATB2/MEIS1/GPR21/HOXA3/PAX6/CHD2/LTBP1/GRIN2B/CNTLN/ZNF238/ERBB4/DMD/EGFLAM/ESRRG/FOXG1/TRIML1/KCNIP2/FNDC9/NR2F1/PROK2/CRYGS/FOXA1/UBXN10	23
GATA2	GATA2	GATA2	13/388	104/12383	2.11996658616285e-05	4.56756437200542e-05	5.68029324522104e-06	GATA3/FBXW7/HOXB6/DNAJB5/PPP2R2A/PHOX2B/PDGFRA/HOXA10/CAPZA1/RBMS3/ST7L/PHF6/UBXN10	13
AMEF2	AMEF2	AMEF2	22/388	259/12383	2.18643929185801e-05	4.66834335288602e-05	5.80562353456844e-06	MRPS18B/SOX5/HOXA2/SALL3/HOXB6/DLG2/CHD2/FST/WT1-AS/GRIN2B/CNTLN/ZNF238/HOXA10/ESRRG/RTN1/PDZRN4/MID1/CAPN1/PCYT1B/DNAJA2/HOXB8/UBXN10	22
CACBINDINGPROTEIN	CACBINDINGPROTEIN	CACBINDINGPROTEIN	21/388	242/12383	2.44308098242228e-05	5.12398400738125e-05	6.3722652545714e-06	HOXB6/CACNA1D/IGF2BP1/OTX2/POU2F1/EPC1/DCAKD/STRN3/EMX2/DMD/HOXA10/ZNF521/ARHGAP44/AP4S1/PDGFB/BRSK2/SMARCA2/ARPC2/NMT1/HOXB8/MYH10	21
TCF4	TCF4	TCF4	21/388	242/12383	2.44308098242228e-05	5.12398400738125e-05	6.3722652545714e-06	TFAP4/SOX5/HOXA2/TFDP2/FOXP2/HOXB6/CHD2/FST/CNTLN/ZNF238/NAV2/HOXA10/C11orf92/KCNQ1DN/ANKRD28/SGCD/FGF10/ZIC1/ARID1A/FOXA1/ZIC4	21
HSF1	HSF1	HSF1	33/388	488/12383	2.67518396104313e-05	5.56156665585282e-05	6.91644976077633e-06	GATA3/CNTFR/CEPT1/FOXP2/CACNA1D/DNAJB5/MGLL/SHC3/SSBP3/OTX2/CHD2/PLEC/STAG2/NDNF/DMD/TRPS1/MAP2/MAP6/HIP1R/RTN1/ZNF654/FNDC9/NR2F1/ANKRD28/KANK2/BCL9/CSRNP3/EIF5/FSIP2/TSSK3/HOXB8/ITGA8/PHF6	33
RREB1	RREB1	RREB1	19/388	207/12383	2.74282793021594e-05	5.65261060401025e-05	7.02967341382576e-06	HOXA3/HOXB2/IGF2BP1/OTX2/FTHL17/EBF1/GRIN2B/STAG2/EMX2/PCF11/ARX/FMNL3/DHH/RUFY3/BCL9/PHF15/HOXB8/CLTC/NRG1	19
HNF3ALPHA	HNF3ALPHA	HNF3ALPHA	19/388	208/12383	2.93331602859598e-05	5.9930680929073e-05	7.45307157900975e-06	TFDP2/GPRIN3/FOXP1/FOXP2/MGLL/OTX2/CHD2/SNX25/NAV3/DMD/PCDH17/BUB3/CSRNP3/BAMBI/LRP5/ATOH8/SMARCA2/HOXB8/PHEX	19
HEB	HEB	HEB	22/388	265/12383	3.11147785829612e-05	6.3027372001383e-05	7.83818083961237e-06	GATA3/TFAP4/SOX5/HOXA3/MYLK/PAX1/DLG2/ACTB/EFNA1/GRIN2B/MYO18A/PPP2R3A/CACNB2/DAAM1/BAI3/IGF1/PDGFB/RBMS3/USP1/C17orf28/NDST4/TRIM8	22
HMGIY	HMGIY	HMGIY	21/388	248/12383	3.51689248056085e-05	7.00586060870318e-05	8.71259591577566e-06	SOX5/MEIS1/FOXP1/HOXB6/MGLL/IGF2BP1/MBNL1/POU2F1/DCHS2/PHOX2B/PPP2R3A/PLAGL2/KLF5/ANKRD12/ZNF654/ANKRD28/FGF10/ZIC1/HOXB8/ZIC4/NXPH4	21
EN1	EN1	EN1	13/388	109/12383	3.51771060099442e-05	7.00586060870318e-05	8.71259591577566e-06	AFF4/FOXP2/PAX6/GPC3/DLG2/OTX2/MAP3K5/PDGFRA/ERBB4/IL1RAPL1/SORBS2/HOXB8/NRG1	13
HNF4	HNF4	HNF4	33/388	497/12383	3.85097078790454e-05	7.60566730611146e-05	9.45852474222167e-06	SOX5/CNTFR/FBXW7/HOXA3/FOXP2/LEAP2/PRDM16/PIK3R3/PLEC/EMX2/ZNF238/NAV2/CACNB2/HOXA10/PCDH17/FOXG1/TRPS1/SLC26A6/INHBC/PART1/CSRNP3/MID1/FGF10/MLL/SESN3/HOXA5/DNAJA2/FOXA1/CACNA2D3/ZIC4/DYRK1A/MYH10/GGNBP2	33
FOX	FOX	FOX	19/388	213/12383	4.07454517455428e-05	7.98072071379641e-05	9.9249469236642e-06	ATXN7L1/NTN1/FOXP2/MGLL/OTX2/EFNA1/BTBD3/COLEC10/HESX1/DMD/EGFLAM/HOXA10/ESRRG/BAMBI/GDNF/ATOH8/SMARCA2/PHEX/NRG1	19
TFIIA	TFIIA	TFIIA	21/388	251/12383	4.19835820862304e-05	8.15582701183329e-05	1.01427118068546e-05	DSCAM/TFAP4/MEIS1/HOXA2/ATXN7L1/FOXP2/PAX6/GPC3/POU4F1/PRDM16/BTBD3/STAG2/PCF11/ADD3/NUP54/NR2F1/HPSE2/TRIM28/EIF5/UBXN10/TSC22D3	21
